질문 유형,직무 - 회사,질문,답변
동기/포부,백엔드 개발자 - 금융결제원,지원동기,"""최고가 되기 위해서""

금융결제원은 국내 다양한 금융 관련 서비스를 지원하는 최고의 기업입니다.

이런 여러 서비스 운영에 있어 중요한 것은 사용자에게 적절한 UI의 표출, 그리고 효율적인 데이터 처리를 통한 빠른 속도 제공입니다.

저는 이를 배우기 위해 매일 진행 중인 알고리즘 풀이 외에도 기존에 공부했던 JSP에 대해 조금 더 파악하고, spring에 활용하기 전에 배우기 위해 관련 학원에 다니며 공부하였고, 여러 예제를 사용한 Spring 프로젝트를 진행했습니다.

그리고 JPA를 사용하는 여러 방식과 주의점, querydsl 등 많은 부분에의 공부를 해 보았습니다.

백엔드 이외에도 front-end에 활용되는 javascript의 기능 활용을 더 잘 알기 위해, vanilla JS를 사용하여 조금씩 난도를 높여가며 프로젝트를 진행 중입니다.

그렇게 실력을 쌓아 가던 중 운이 좋게도 그동안 제가 공부하였고 앞으로의 진로로 결정하게 된 java spring이 기반이 되는 전산직 사무원을 채용한다는 소식을 들었고, 최고의 기업에서 가장 좋아하는 공부를 할 수 있을 것이라는 기대감을 품고 지원하게 되었습니다."
기업/아이디어,백엔드 개발자 - 금융결제원,금융결제원 제공 서비스 이용 경험 및 느낀 점,"금융결제원이 제공하는 서비스는 매우 다양하며, 저는 개인적으로 금융공동망과 인터넷지로 서비스를 이용해 본 경험이 있습니다.금융공동망은 금융기관 간의 자금 이체를 실시간으로 처리하는 시스템으로, 이를 이용하면 다른 은행 계좌로 송금을 하거나 대출금을 상환하는 등의 업무를 편리하게 처리할 수 있습니다. 또한, 금융공동망은 보안성이 매우 높아 안전하게 이용할 수 있습니다.인터넷지로 서비스는 지로 요금 납부 및 조회 서비스를 제공하는 것으로, 이를 이용하면 지로 요금을 간편하게 납부할 수 있습니다. 또한, 인터넷지로 서비스를 이용하면 납부 내역을 쉽게 조회할 수 있어 편리합니다.금융결제원이 제공하는 서비스를 이용하면서 느낀 점은, 이들이 매우 편리하고 안전하다는 것입니다. 또한, 금융결제원은 고객들의 편의를 위해 다양한 서비스를 제공하고 있으며, 고객들의 요구에 적극적으로 대응하고 있습니다.금융결제원이 제공하는 서비스는 금융산업의 발전에 큰 역할을 하고 있으며, 앞으로도 더욱 발전할 것으로 기대됩니다. 그렇기 때문에 이곳에서 개발자로 일하며 다양한 사람을 위한 서비스를 만들 때에 저의 경험과 지식이 도움이 될 수 있을 것이라 생각합니다.

"
역량/경험,백엔드 개발자 - 금융결제원,전문가가 되기 위한 노력,"""노력의 발자취""개인 프로젝트 중 기억에 남는 것은 member의 id를 통해 이름을 가져오기 위한 fetch join을 사용해 여러 값들을 한꺼번에 가져오는 것이었습니다.제가 해당 프로젝트에서 진행한 내용은 다음과 같습니다.1. Entity를 통해 가져온 값을 DTO로 변환하고 mapstruct 사용Entity를 DTO로 mapstruct를 사용하여 변경하고 이를 노출하려 했습니다.그리고 mapstruct에서의 변환에서 기존의 Page로는 해당 방법이 불가능하다 생각하였습니다.그렇게 기존의 Page 형식을 List 형식으로 변환하고 mapstruct를 사용했습니다.2. List를 사용한 방식 사용 시 카운트 방식Page를 사용하면, JPA에서 TotalCount를 진행해 줍니다.당시에 이 totalcount를 통해 바로 최대 결과를 가져오는 것이 성능에의 불이익을 줄 수도 있다는 것을 간과하여 Page를 사용하는 것이 더 효율적일 것이라 생각하였습니다.3. 결과최종적으로 해당 문제를 해결하였고, 현재는 이보다 훨씬 정규화되고 효율적인 방법을 사용하는 더 빠른 방법을 도입하고 있습니다.앞으로도 노력을 통해 더욱 발전하겠습니다.

"
협업/성과,백엔드 개발자 - 금융결제원,"조직의 구성원으로서 갈등이 있었던 상황 / 원인, 대처방안, 현재 시점에서의 판단","""융합이란, IoT란""

4차 산업혁명이 도래하며 세계는 빠르게 발전하고 있습니다.
그중 가장 눈에 띄는 것은 바로 기기와 인터넷의 연결, IoT입니다.

저는 백엔드 개발자임과 동시에 전자공학과의 학생으로서 기존의 것에 새로운 아이디어를 합쳐 더 발전된 것을 만들 수 있는 방법을 모색했습니다.
마침 대학교 4학년이 신청할 수 있는 OOO 프로젝트를 진행하였고, 제가 만든 아이디어를 바탕으로 저는 팀장이 되어 저를 포함한 4인의 학생과 1인의 현업 개발자를 모집하였습니다.

처음 프로젝트를 진행할 때에는 아직 아이디어가 구체화되지 않고, 서로의 생각이 정리되지 않아 진행에 어려움이 있었습니다.
이를 해결하기 위해 저희는 매주 1회 정기 세션으로 브레인스토밍과 에자일 회의를 진행하며 의견과 상황을 교환하였습니다.

이 결과, 저희는 서로의 상황을 잘 이해하고 도움을 주는 법을 알았고, 특허를 출원하는 등의 성과 외에도 새로운 아이디어를 생각해 내고, 이를 구현하기 위해 노력하는 방법을 배웠습니다.

저는 이 경험을 토대로 언제나 새로운 방법을 생각하고, 이를 구현할 수 있는 사람이 될 수 있었다 생각합니다."
성장/가치관,백엔드 개발자 - 금융결제원,"가치관, 인생관","""앞서, 소통하며""저는 지금까지 친구들과 버스킹을 하거나, 농구 대회를 나가고, OOO을 통해 프로젝트를 하는 등 다양한 사람들과 많은 활동을 하였습니다.그중, 고등학생 나이대의 근처 취약계층 어린이에게 피아노를 가르쳐 주는 봉사활동을 했던 적이 있습니다.음악을 제대로 배운 적이 없는 아이에게 한 가지의 곡을 완성시키는 것을 도와주는 것이었는데, 배우는 아이도 저도 어렸을 때였기 때문에 처음부터 쉽게 되지는 않았습니다.저는 단순히 아이에게 음악을 가르쳐서 곡을 완성시키려고 했기 때문에 그 학생과의 소통을 중요시하지 않았고, 그 결과로 학생이 약속에 늦거나 오지 않는 일이 많았습니다.그와 관련해 주변 어른들에게 상담하였더니, 그 아이와 비슷한 나이대의 사람으로서, 그리고 공감을 해 줄 수 있는 선생으로서 도움을 주는 것이 선행되어야 한다는 것을 깨달을 수 있었습니다.이후 그 아이와 봉사시간 이후로도 자주 만나며 관계를 쌓았고, 완성하고자 했던 곡을 다 가르칠 수 있었으며, 최근에도 연락을 계속하는 좋은 친구로 남을 수 있었습니다.이를 통해 저는 누군가와 함께할 때에 먼저 소통을 통해 서로 알아가는 것이 중요하다는 것을 깨닫게 되었습니다.

"
성장/가치관,웹 개발자 - 한국투자증권,"성장과정:가족사항, 학창시절, 교우관계, 생활습관, 자신에게 크게 영향을 미친 사건","저희 가족은 회사원이신 아버지와 어머니 그리고 누나와 저 4인 가족입니다. 학창 시절 독서에 관심을 갖고 폭넓은 분야의 책을 지속적으로 읽었으며, 특히 위인전과 고전 소설, 동서양 철학 등 인문 고전을 탐독했습니다. 덕분에 다양한 인간상에 대한 이해와 공감 능력, 그리고 뛰어난 이성과 논리를 습득하는 한편, 인문학적 소양을 쌓으며 위인을 본받으려는 마음가짐을 다지게 되었습니다.이런 특성으로 인해 독서를 좋아하며 바람직한 도덕 관념과 겸손함을 갖춘 친구들과 주로 교우관계를 맺었으며, 성실하고 청렴하신 부모님을 본받아 아침 일찍 등교하고 야간 자율 학습 후 하교하는 성실한 생활 습관을 바탕으로 공부에 임했습니다.이지성 작가의 ‘꿈꾸는 다락방’을 읽으며 범인도 큰 꿈을 가짐으로써 위인으로 거듭나고 결국 그 꿈을 이룰 수 있다는 것을 깨달았고, 이것이 저에게 크게 영향을 미쳐 더 나은 사회를 위한 삶을 살고자 하는 평생의 꿈을 품게 되었습니다.

"
협업/성과,웹 개발자 - 한국투자증권,"실패 경험, 극복 사례","AI 연구 기관 OOOOO 인턴쉽 과정에서 할당 받은 데이터 분석 업무 달성에 대해 초기에 부족한 실력으로 인해 크게 좌절했으나 결국 전략적으로 역량을 쌓아 인턴 중 최고 성과를 달성하며 극복해낸 사례가 있습니다.
인턴 중 가장 부족한 데이터 분석 역량을 갖고 있던 저는 7개의 kaggle competition에서 일정한 예측 정확도 산출을 할당 받았으나, 자발적으로 더 큰 목표에 도전하여, 업무 단계별 초과달성을 통해 체계적으로 역량을 성장시키는 전략을 실천했습니다. 그 결과 최고 성과를 내어 인센티브와 정규직 제의를 받았습니다."
동기/포부,웹 개발자 - 한국투자증권,증권업을 선택하게된 이유와 증권사 중 당사를 선택한 이유,"증권업은 데이터 기반의 전략과 통찰로 고객의 안정적인 경제적 삶을 보장해주기에 금융인이 되길 희망하며 경영학을 전공했습니다. IT직무로 진로를 결정하면서 증권업에서 데이터 분석과 AI를 기반으로 고객 일상과 하나된 고객 친화적인 비즈니스 디지털 플랫폼을 만드는 꿈을 키워왔습니다.
한국투자증권은 저의 경영 도메인 기반 빅데이터 분석 및 AI 구현 역량과 SW 앱 개발 역량을 통해 당사의 한국투자와 미니스탁과 뱅키스 핀테크 서비스와 온라인 금융 상품권과 인공지능 리서치 AI 에어 서비스 개선에 기여할 수 있기에 지원했습니다"
동기/포부,웹 개발자 - 한국투자증권,지원 분야는 어떤 일을 하는지,"IT본부 내 트레이딩개발부와 BIZ개발부에 지원하고 있으며, 이 부서들은 매매 업무와 모바일 앱 개발, 그리고 증권 업무의 front부터 back office까지의 개발을 담당합니다.
이를 통해 기업 내 증권 업무를 담당하는 영업, 관리 부서의 내부 시스템 구축 및 SW 서비스를 제공하며, 고객의 금융 업무의 편의성을 증진시키기 위한 핀테크 앱을 개발합니다."
동기/포부,웹 개발자 - 한국투자증권,지원 분야에 적합한 이유,"저는 경영 IT 융합형 인재로서, 클라이언트와 비즈니스 이해를 기반으로 한국투자증권의 핀테크 서비스와 에어 AI 서비스를 고객 비즈니스 니즈 충족에 최적화된 비즈니스 SW 솔루션으로 개선시킬 수 있기에 한국투자증권의 IT 직무에 적합한 인재입니다.
경영학과와 컴퓨터 공학을 전공한 후, AI 연구기관 OOOOO 인턴 업무에서 실제 경영 빅데이터를 분석하여 최적의 솔루션을 도출했으며, AutoML을 위한 Meta feature extraction 기술 연구 조사를 통해 MFE, AutoML 구현 논문을 KCI 학회 발표 준비 중입니다. 또한 OOO 캡스톤 프로젝트, OOO SW 공모전에서 웹 풀스택 개발을 수행했으며, 그 중 OOO SW 공모전에서는 우수상을 수상했습니다.

OOOOO 연계 산업체 프로젝트와 소프트웨어 장학생으로 파견된 OOOO OOO에서의 App Dev, 캡스톤 프로젝트에서 안드로이드 앱을 개발했고, OOOO에서 A등급을 받았습니다."
성장/가치관,웹 개발자 - 한국투자증권,"인생계획, 회사가 어떤 도움을 줄 수 있는지?","저는 경영과 SW를 융합한 디지털 금융 혁신으로 고객 니즈에 최적화된 비즈니스 디지털 플랫폼을 창출하여 고객의 삶의 질을 높이고 더 발전된, 행복한 사회를 만들어가는 꿈을 갖고 있습니다. 한국투자증권은 카카오 등 빅테크 기업과의 연계와 혁신금융서비스로 효과적인 금융 디지털 전략과 핀테크 플랫폼 개발을 동시에 실천하고 있습니다. 이렇듯 DT를 통해 고객에게 기쁨을 주고 새로운 가치를 창조하는 한국투자증권의 현재의 도전에 동참하는 것은, 미래에 기업의 목표 달성과 함께 저의 꿈을 실현하는 데 도움이 될 것입니다.

저는 IT직무에서 핀테크 서비스를 고객 친화적으로 개선하고, 한국투자증권의 각 사업부문별 비즈니스 특성을 고려한 최적화된 전사적 시스템과 SW플랫폼, 그리고 전사적 데이터 거버넌스 시스템을 구축할 것입니다. 이는 지속적인 DT을 통해 기업의 글로벌 디지털 금융 선도에 기여하여 세계 사회의 발전과 삶의 질 향상에 기여할 수 있다는 점에서 저의 꿈 실현에 도움이 될 것입니다."
동기/포부,데이터사이언티스트 - 에코마케팅,직업 선택 기준/바라는 직장 모습,"""마케팅 인턴으로 알게 된 데이터 분석에 대한 흥미""
제 본래 커리어 목표는 퍼포먼스 마케터였습니다. 이를 위해 인턴, 동아리, 공모전 등 다양한 경험을 쌓았습니다. 그리고 이 과정에서 저는 업무와 의사결정의 기반이 되는 ‘데이터'의 중요성을 알게 되었고, 데이터 자체에 더 관심을 가지게 되었습니다. 이러한 관심사를 구체화하기 위해 저는 인턴 중에 틈틈이 데이터마케팅 교육을 수강한 경험이 있습니다.

해당 교육을 통해 약 5주 동안 웹 환경의 고객 여정을 설계했습니다. 저는 Unbounce라는 도구로 페이지를 제작하였고, 틈틈이 페이지를 이용해 보며 불편한 지점을 가설로 만들었습니다. 기존 페이지는 콘텐츠의 양이 너무 많았고, 이미지가 페이지 중간에 위치했습니다. 또한 회원가입 페이지로 유도하는 버튼도 가독성이 좋지 않다고 판단했습니다. 이러한 가설을 바탕으로 Mixpanel을 통해 AB 테스트를 진행했고, 전환율이 약 7% 상승한 것을 확인할 수 있었습니다.
위와 같은 경험을 통해 데이터 분석에 대한 제 흥미를 확실히 확인할 수 있었습니다. 그리고 다양한 경험을 통해 습득한 마케팅에 대한 이해를 바탕으로 데이터 분석 업무를 수행하기 위해 에코마케팅의 데이터 분석가 인턴을 지원하게 되었습니다.

""반복적인 업무에만 매몰되지 않고, 전체 프로세스를 이해하고 경험할 수 있는 조직""
저는 새로운 일에 도전하는 것을 좋아하며, 이를 통해 성장할 수 있는 직장을 희망합니다. 이러한 성장성이 보장되기 위해서는 한 업무에만 매몰되지 않고 전체 프로세스를 이해하고 경험할 수 있는 업무환경이 선행되어야 한다고 생각합니다.
이러한 관점에서 에코마케팅은 저에게 적합한 조직입니다. 에코마케팅은 각 분야의 전문팀이 해당 영역에 대해 끊임없이 연구하여 혁신하는 한편, 프로젝트에는 각 팀의 구성원이 하나의 유닛으로 활동하게 됩니다. 이러한 업무환경을 통해 매번 다른 프로젝트와 구성원을 통해 새로운 경험과 공부를 할 수 있다고 생각합니다.
에코마케팅에서 다양한 경험과 사람을 만나 계속해서 발전하는 데이터 분석가로 성장하고 싶습니다."
